Overall rank,Country or region,Year,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
154,Afghanistan,2019,3.203,-1.391762949774577,-2.3147429135863944,-1.1901412184870415,-2.7189360402787486,-0.25807892687469264,-0.9094288435996696
145,Afghanistan,2018,3.632,-1.4374529387610915,-2.2480380895350627,-1.6102448599698087,-2.1732723416757667,0.08359275000608851,-0.7938132045704034
107,Albania,2019,4.719,0.12362168494481562,-1.2107780755368593,0.8430018766135211,-0.2602396101029604,-0.051005183310582965,-0.8884078183216212
112,Albania,2018,4.586,0.044933370579152226,-1.3141705528164231,0.5100895569479321,-0.029134984812285953,-0.35126211147854214,-0.8358552551265003
88,Algeria,2019,5.211,0.2632299846258318,-0.17018282033608942,0.49027334744402795,-2.166852768751026,-1.1381423370221593,0.02600678127348326
84,Algeria,2018,5.295,0.20484833203195232,-0.19019426755148885,0.10187564116750732,-2.2246289250736946,-1.3245087062298582,0.24672754669299127
142,Angola,2018,3.795,-0.4271965156148296,-0.2869162624259191,-1.554759473358877,-2.7189360402787486,-1.0760202139529262,-0.5310503885947988
47,Argentina,2019,6.086,0.4916799295584038,0.7370027867620179,0.8707445699189869,0.30468280727424396,-1.2106181472695976,-0.6466660276240648
29,Argentina,2018,6.388,0.4434516078504161,0.8570714700544146,0.327780429512014,0.9402205268235989,-1.2520328959824196,-0.6046239770679681
116,Armenia,2019,4.559,-0.12259658903806721,-0.5203831466055793,0.6091706044674523,-0.9021969025770566,-0.9103612191016385,-0.49951885067772617
129,Armenia,2018,4.321,-0.20889990156814994,-0.7371738247724062,0.018647561251109952,-1.0498470798460986,-1.0967275883093373,-0.877897305682597
11,Australia,2019,7.228,1.2024130915708493,1.1238907662597406,1.4850470645400147,0.8567660788019671,1.5434626421330626,1.87585700574174
10,Australia,2018,7.272,1.1211864444837127,1.2072717963239046,0.9856785850416309,1.4345276420286535,1.8437195703010214,2.0019831574100304
10,Austria,2019,7.246,1.212566422456741,0.880418158472381,1.4057822265243982,0.6962767556834429,0.6323381704509794,1.2031841968441923
12,Austria,2018,7.139,1.1237247772051853,0.9771401533468113,0.9103769889267952,1.2419404542864243,0.6116307960945684,1.182163171566144
90,Azerbaijan,2019,5.208,0.3673016262062254,-0.2135409559694545,0.4268614770315347,-0.46566594369467135,-1.5315824497939678,0.740721640727128
87,Azerbaijan,2018,5.201,0.3190733044982383,-0.16684757913352247,-0.23103667849808215,0.04148031735986468,-1.5729971985067899,0.6776585648929828
37,Bahrain,2019,6.199,1.1770297643561192,0.523547349797758,0.8311121509111786,0.7219550473824068,0.7462287294112399,-0.01603526928261353
43,Bahrain,2018,6.105,1.1161097790407666,0.5168768673926248,0.145471302076096,1.0942902770173821,0.6219844832727739,0.1206013950247009
125,Bangladesh,2019,4.456,-0.8536364128222966,-0.9439587793315334,0.24455234959561667,0.664178891059738,-0.17524942944904864,0.33081164780518457
115,Bangladesh,2018,4.5,-0.9297863944664873,-1.2041075931317262,-0.326154484116822,1.0044162560710086,-0.3098473627657201,0.34132216044420877
81,Belarus,2019,5.323,0.42822161152157795,0.8470657464467153,0.5061263150471512,-1.2103364029646226,-0.920714906279844,0.3203011351661604
73,Belarus,2018,5.483,0.3571482953203334,0.9571287061314118,0.15339778587765762,-0.7481271523832735,-0.8482390960324054,0.4464272868344507
18,Belgium,2019,6.923,1.161799768027281,0.9771401533468113,1.2868849695009732,0.3175219531237259,-0.23737155251828165,1.0350159946198052
16,Belgium,2018,6.927,1.0805731209401443,0.9071000880929135,0.9222667146291377,1.0236749748452314,0.05253168847147202,1.350331373790531
49,Belize,2018,5.956,-0.23174489606140686,-0.3669620512875169,-0.7422948836988084,1.0878707040926412,0.0007632525804445292,-0.23675603470212153
102,Benin,2019,4.883,-1.282614642751237,-2.58156220979172,-1.0474645100589317,-0.4785050895441533,-0.08206624484519946,-0.3103296231752908
